drug	gene
Regorafenib	CYP3A4
Regorafenib	DDR2
Regorafenib	EPHA2
Regorafenib	FGFR1
Regorafenib	FGFR2
Regorafenib	FLT1
Regorafenib	FLT4
Regorafenib	FRK
Regorafenib	KDR
Regorafenib	KIT
Regorafenib	MAPK11
Regorafenib	NTRK1
Regorafenib	PDGFRA
Regorafenib	PDGFRB
Regorafenib	RAF1
Regorafenib	RET
Regorafenib	TEK
Regorafenib	UGT1A1
Regorafenib	UGT1A9
Relebactam	SLC22A11
Relebactam	SLC22A8
Relebactam	SLC47A1
Relebactam	SLC47A2
Relugolix	ABCB1
Relugolix	ABCG2
Relugolix	ALB
Relugolix	CYP2B6
Relugolix	CYP2C8
Relugolix	CYP3A4
Relugolix	GNRHR
Relugolix	ORM1
Remdesivir	ABCB1
Remdesivir	ABCB11
Remdesivir	ABCC4
Remdesivir	CES1
Remdesivir	CTSA
Remdesivir	CYP2C8
Remdesivir	CYP2D6
Remdesivir	CYP3A4
Remdesivir	SLC10A1
Remdesivir	SLC47A1
Remdesivir	SLCO1B1
Remdesivir	SLCO1B3
Remifentanil	OPRD1
Remifentanil	OPRK1
Remifentanil	OPRM1
Remimazolam	ALB
Remimazolam	CES1
Remimazolam	GABRA1
Remoxipride	CYP1A2
Remoxipride	CYP2D6
Remoxipride	CYP3A4
Remoxipride	DRD2
Remoxipride	DRD3
Remoxipride	DRD4
Remoxipride	HTR2A
Remoxipride	ORM1
Remoxipride	SIGMAR1
Repaglinide	ABCB11
Repaglinide	ABCC8
Repaglinide	ALB
Repaglinide	CYP2C8
Repaglinide	CYP3A4
Repaglinide	PPARG
Repaglinide	SLCO1B1
Rescinnamine	ACE
Reserpine	ABCB1
Reserpine	ABCB11
Reserpine	ABCC2
Reserpine	BIRC5
Reserpine	CYP3A5
Reserpine	SLC18A1
Reserpine	SLC18A2
Reserpine	SLC22A1
Reserpine	SLC22A2
Reserpine	SLCO1B1
Reserpine	SLCO2B1
Reslizumab	IL5
Resorcinol	TPO
Retapamulin	CYP3A4
Reteplase	FGA
Reteplase	PLG
Reteplase	SERPINE1
Revefenacin	ABCB1
Revefenacin	ABCG2
Revefenacin	ALB
Revefenacin	CHRM1
Revefenacin	CYP2D6
Revefenacin	SLCO1B1
Revefenacin	SLCO1B3
Ribavirin	ADK
Ribavirin	IMPDH1
Ribavirin	IMPDH2
Ribavirin	NT5C2
Ribavirin	SLC28A3
Ribavirin	SLC29A1
Ribociclib	CDK4
Ribociclib	CDK6
Ribociclib	CYP3A4
Riboflavin	BLVRB
Riboflavin	MAOA
Riboflavin	MTHFR
Riboflavin	RFK
Riboflavin	SLC22A6
Ribostamycin	P4HB
Rifabutin	ABCB1
Rifabutin	CYP2B6
Rifabutin	CYP2C19
Rifabutin	CYP2C8
Rifabutin	CYP2C9
Rifabutin	CYP3A4
Rifabutin	HSP90AA1
Rifabutin	HSP90B1
Rifampicin	ABCB1
Rifampicin	ABCB11
Rifampicin	ABCC1
Rifampicin	ABCC2
Rifampicin	ABCC3
Rifampicin	ABCC5
Rifampicin	ALB
Rifampicin	CYP1A2
Rifampicin	CYP2A6
Rifampicin	CYP2B6
Rifampicin	CYP2C19
Rifampicin	CYP2C8
Rifampicin	CYP2C9
Rifampicin	CYP2E1
Rifampicin	CYP3A4
Rifampicin	CYP3A43
Rifampicin	CYP3A5
Rifampicin	CYP3A7
Rifampicin	NR1I2
Rifampicin	ORM1
Rifampicin	SLC22A6
Rifampicin	SLC22A7
Rifampicin	SLC22A8
Rifampicin	SLCO1A2
Rifampicin	SLCO1B1
Rifampicin	SLCO1B3
Rifampicin	SLCO2B1
Rifampicin	UGT1A1
Rifampicin	UGT1A9
Rifamycin	ABCB1
Rifamycin	ALB
Rifamycin	CYP1A2
Rifamycin	CYP2B6
Rifamycin	CYP2C19
Rifamycin	CYP2C8
Rifamycin	CYP2C9
Rifamycin	CYP2D6
Rifamycin	CYP3A4
Rifamycin	SLC47A1
Rifamycin	SLCO1A2
Rifamycin	SLCO1B1
Rifamycin	SLCO1B3
Rifamycin	SLCO2A1
Rifamycin	SLCO2B1
Rifapentine	CYP2B6
Rifapentine	CYP2C19
Rifapentine	CYP2C8
Rifapentine	CYP2C9
Rifapentine	CYP3A4
Rifaximin	CYP2C19
Rifaximin	CYP2C8
Rifaximin	CYP3A4
Rifaximin	NR1I2
Rilmenidine	ADRA2A
Rilonacept	IL1A
Rilonacept	IL1B
Rilonacept	IL1RN
Rilpivirine	ABCB1
Rilpivirine	ABCG2
Rilpivirine	ALB
Rilpivirine	CYP2B6
Rilpivirine	CYP2C19
Rilpivirine	CYP2C8
Rilpivirine	CYP2C9
Rilpivirine	CYP2D6
Rilpivirine	CYP2E1
Rilpivirine	CYP3A4
Rilpivirine	NR1I2
Rilpivirine	SLCO1B1
Rilpivirine	SLCO1B3
Riluzole	ABCG2
Riluzole	CYP1A1
Riluzole	CYP1A2
Riluzole	SCN5A
Riluzole	SLC7A11
Rimegepant	ABCB1
Rimegepant	ABCG2
Rimegepant	CALCRL
Rimegepant	CYP2C9
Rimegepant	CYP3A4
Rimegepant	SLC22A2
Rimegepant	SLC22A8
Rimegepant	SLC47A1
Rimegepant	SLCO1B1
Rimegepant	SLCO1B3
Rimexolone	CYP3A4
Rimexolone	CYP3A5
Rimexolone	NR3C1
Rimexolone	SERPINA6
Rimonabant	CNR1
Rimonabant	CYP3A4
Rimonabant	GPR55
Riociguat	ABCB1
Riociguat	ABCG2
Riociguat	ALB
Riociguat	CYP1A1
Riociguat	CYP2C8
Riociguat	CYP2J2
Riociguat	CYP3A4
Riociguat	GUCY1A2
Riociguat	ORM1
Ripretinib	ABCB1
Ripretinib	ABCG2
Ripretinib	ALB
Ripretinib	BRAF
Ripretinib	CYP2C8
Ripretinib	CYP2D6
Ripretinib	CYP2E1
Ripretinib	CYP3A4
Ripretinib	KDR
Ripretinib	KIT
Ripretinib	ORM1
Ripretinib	PDGFRA
Ripretinib	PDGFRB
Ripretinib	SLC47A1
Ripretinib	TEK
Risankizumab	IL12B
Risdiplam	ABCB1
Risdiplam	ABCG2
Risdiplam	ALB
Risdiplam	CYP1A1
Risdiplam	CYP2J2
Risdiplam	CYP3A4
Risdiplam	CYP3A7
Risdiplam	FMO1
Risdiplam	FMO3
Risdiplam	SLC47A1
Risdiplam	SLC47A2
Risedronic acid	FDPS
Risedronic acid	PTGS2
Risperidone	ABCB1
Risperidone	ADRA1A
Risperidone	ADRA1B
Risperidone	ADRA2B
Risperidone	ADRA2C
Risperidone	ALB
Risperidone	CYP2D6
Risperidone	CYP3A4
Risperidone	DRD1
Risperidone	DRD2
Risperidone	HRH1
Risperidone	HTR1A
Risperidone	HTR1D
Risperidone	HTR2A
Risperidone	HTR2C
Risperidone	HTR7
Risperidone	ORM1
Ritodrine	ADRB2
Ritodrine	PGD
Ritonavir	ABCB1
Ritonavir	ABCB11
Ritonavir	ABCC1
Ritonavir	ABCC2
Ritonavir	ABCG2
Ritonavir	ALB
Ritonavir	CYP1A2
Ritonavir	CYP2B6
Ritonavir	CYP2C19
Ritonavir	CYP2C8
Ritonavir	CYP2C9
Ritonavir	CYP2D6
Ritonavir	CYP3A4
Ritonavir	CYP3A5
Ritonavir	CYP3A7
Ritonavir	NR1I2
Ritonavir	ORM1
Ritonavir	SLCO1A2
Ritonavir	SLCO1B1
Ritonavir	SLCO1B3
Ritonavir	SLCO2B1
Ritonavir	UGT1A1
Rituximab	MS4A1
Rivaroxaban	ABCB1
Rivaroxaban	ABCG2
Rivaroxaban	CYP2J2
Rivaroxaban	CYP3A4
Rivaroxaban	CYP3A5
Rivaroxaban	F10
Rivastigmine	ACHE
Rivastigmine	BCHE
Rizatriptan	HTR1B
Rizatriptan	HTR1D
Rizatriptan	HTR1F
Rizatriptan	MAOA
Rocuronium	CHRM2
Rocuronium	CHRNA2
Rocuronium	HTR3A
Rocuronium	SLC22A1
Rocuronium	SLCO1A2
Rofecoxib	ABCC4
Rofecoxib	CYP1A2
Rofecoxib	CYP2C8
Rofecoxib	CYP2C9
Rofecoxib	CYP3A4
Rofecoxib	ELN
Rofecoxib	PTGS1
Rofecoxib	PTGS2
Roflumilast	CYP3A4
Roflumilast	PDE4A
Roflumilast	PDE4B
Roflumilast	PDE4C
Roflumilast	PDE4D
Rolapitant	ABCB1
Rolapitant	ABCG2
Rolapitant	CYP2D6
Rolapitant	CYP3A4
Rolapitant	TACR1
Romidepsin	ABCB1
Romidepsin	ABCB11
Romidepsin	ABCC1
Romidepsin	CYP1A1
Romidepsin	CYP2B6
Romidepsin	CYP2C19
Romidepsin	CYP3A4
Romidepsin	CYP3A5
Romidepsin	HDAC1
Romidepsin	HDAC2
Romidepsin	HDAC4
Romidepsin	HDAC6
Romidepsin	SLC22A2
Romidepsin	SLC22A6
Romidepsin	SLCO1B1
Romidepsin	SLCO1B3
Romiplostim	MPL
Romosozumab	SOST
Ropeginterferon alfa-2b	CYP1A2
Ropeginterferon alfa-2b	CYP2A6
Ropeginterferon alfa-2b	CYP2D6
Ropeginterferon alfa-2b	IFNAR1
Ropinirole	ADRA1A
Ropinirole	CYP1A2
Ropinirole	DRD2
Ropinirole	DRD3
Ropinirole	DRD4
Ropivacaine	CYP1A2
Ropivacaine	CYP2B6
Ropivacaine	CYP3A4
Ropivacaine	SCN10A
Rose bengal	ALB
Rose bengal	LTF
Rose bengal	LYZ
Rose bengal	TF
Rosiglitazone	ABCB11
Rosiglitazone	ACSL4
Rosiglitazone	ALB
Rosiglitazone	CYP1A2
Rosiglitazone	CYP2B6
Rosiglitazone	CYP2C8
Rosiglitazone	CYP2C9
Rosiglitazone	CYP2D6
Rosiglitazone	CYP2E1
Rosiglitazone	CYP3A4
Rosiglitazone	PPARA
Rosiglitazone	PPARD
Rosiglitazone	PPARG
Rosiglitazone	PTGS1
Rosiglitazone	RXRA
Rosiglitazone	RXRB
Rosiglitazone	RXRG
Rosiglitazone	SLCO1B1
Rosoxacin	CYP1A2
Rosuvastatin	ABCB11
Rosuvastatin	ABCC2
Rosuvastatin	ABCC4
Rosuvastatin	ABCG2
Rosuvastatin	ALB
Rosuvastatin	CYP2C9
Rosuvastatin	HMGCR
Rosuvastatin	ITGAL
Rosuvastatin	SLC10A1
Rosuvastatin	SLC22A8
Rosuvastatin	SLC7A11
Rosuvastatin	SLCO1A2
Rosuvastatin	SLCO1B1
Rosuvastatin	SLCO1B3
Rosuvastatin	SLCO2B1
Rotigotine	ADRA2B
Rotigotine	CYP2C19
Rotigotine	CYP2D6
Rotigotine	CYP3A4
Rotigotine	DRD1
Rotigotine	DRD2
Rotigotine	DRD3
Rotigotine	DRD4
Rotigotine	DRD5
Rotigotine	HTR1A
Roxadustat	EGLN1
Roxadustat	EGLN2
Roxadustat	EGLN3
Roxithromycin	ABCB1
Roxithromycin	CYP2B6
Roxithromycin	CYP3A4
Rubidium Rb-82	ATP1A1
Rubidium Rb-82	ATP1A2
Rubidium Rb-82	ATP1A3
Rubidium Rb-82	ATP1A4
Rubidium Rb-82	ATP1B1
Rubidium Rb-82	ATP1B2
Rubidium Rb-82	ATP1B3
Rubidium Rb-82	FXYD2
Rucaparib	ABCB1
Rucaparib	ABCC4
Rucaparib	ABCG2
Rucaparib	CYP1A2
Rucaparib	CYP2C19
Rucaparib	CYP2C8
Rucaparib	CYP2C9
Rucaparib	CYP2D6
Rucaparib	CYP3A4
Rucaparib	CYP3A43
Rucaparib	CYP3A5
Rucaparib	CYP3A7
Rucaparib	PARP1
Rucaparib	PARP2
Rucaparib	PARP3
Rucaparib	SLC22A1
Rucaparib	SLC22A6
Rucaparib	SLC22A8
Rucaparib	SLC47A1
Rucaparib	SLC47A2
Rucaparib	SLCO1B1
Rucaparib	SLCO1B3
Rucaparib	UGT1A1
Rufinamide	ALB
Rufinamide	CES1
Rufinamide	CYP2E1
Rufinamide	CYP3A4
Rufinamide	GRM5
Rufinamide	SCN9A
Rupatadine	CYP2C19
Rupatadine	CYP2C9
Rupatadine	CYP2D6
Rupatadine	CYP3A4
Rupatadine	HRH1
Rupatadine	PTAFR
Rutin	AKR1C3
Rutin	CBR1
Rutin	CYP3A4
Ruxolitinib	ALB
Ruxolitinib	CYP2C9
Ruxolitinib	CYP3A4
Ruxolitinib	JAK1
Ruxolitinib	JAK2
Ruxolitinib	JAK3
Ruxolitinib	TYK2
Sacituzumab govitecan	FUBP1
Sacituzumab govitecan	TACSTD2
Sacituzumab govitecan	TOP1
Sacituzumab govitecan	UGT1A1
Sacubitril	MME
Sacubitril	SLCO1B1
Sacubitril	SLCO1B3
Safinamide	ABCG2
Safinamide	CYP1A1
Safinamide	CYP1A2
Safinamide	CYP2C19
Safinamide	CYP2D6
Safinamide	CYP3A4
Safinamide	CYP3A5
Safinamide	MAOA
Safinamide	MAOB
Safinamide	SLCO3A1
Salbutamol	ADRB1
Salbutamol	ADRB2
Salbutamol	ADRB3
Salbutamol	CYP3A4
Salicylic acid	AKR1C1
Salicylic acid	ALB
Salicylic acid	CYP2C9
Salicylic acid	PTGS1
Salicylic acid	PTGS2
Salicylic acid	SLC16A1
Salicylic acid	SLC22A10
Salicylic acid	SLC22A11
Salicylic acid	SLC22A6
Salicylic acid	SLC22A7
Salicylic acid	SLC22A8
Salicylic acid	SLCO2B1
Salmeterol	ADRB1
Salmeterol	ADRB2
Salmeterol	ADRB3
Salmeterol	ALB
Salmeterol	CYP2C8
Salmeterol	CYP3A4
Salmeterol	CYP3A5
Salmeterol	CYP3A7
Salmeterol	ORM1
Salmeterol	SLC22A1
Salmeterol	SLC22A2
Salmeterol	SLC22A3
Salmon calcitonin	CALCR
Salsalate	PTGS1
Salsalate	PTGS2
Samidorphan	CYP2C19
Samidorphan	CYP2C8
Samidorphan	CYP3A4
Samidorphan	CYP3A5
Samidorphan	OPRD1
Samidorphan	OPRK1
Samidorphan	OPRM1
Sapropterin	ABCB1
Sapropterin	NOS3
Sapropterin	PAH
Sapropterin	PTGS2
Sapropterin	TH
Sapropterin	TPH1
Saquinavir	ABCB1
Saquinavir	ABCB11
Saquinavir	ABCC1
Saquinavir	ABCC2
Saquinavir	ABCG2
Saquinavir	ALB
Saquinavir	CYP2C8
Saquinavir	CYP2D6
Saquinavir	CYP3A4
Saquinavir	CYP3A5
Saquinavir	CYP3A7
Saquinavir	ORM1
Saquinavir	SLC22A1
Saquinavir	SLCO1A2
Saquinavir	SLCO1B1
Saquinavir	SLCO2B1
Sarecycline	ABCB1
Sargramostim	CSF2RA
Sargramostim	CSF2RB
Sargramostim	IL3RA
Sargramostim	PRG2
Sargramostim	SDC2
Sarilumab	CYP3A4
Sarilumab	FCGR1A
Sarilumab	FCGR2A
Sarilumab	FCGR2B
Sarilumab	FCGR3A
Sarilumab	FCGR3B
Sarilumab	IL6R
Satralizumab	IL6R
Saxagliptin	ABCC1
Saxagliptin	CYP3A4
Saxagliptin	CYP3A5
Saxagliptin	DPP4
Saxagliptin	SLC22A8
Saxagliptin	SLCO4C1
Scopolamine	CHRM1
Scopolamine	CHRM2
Scopolamine	CHRM3
Scopolamine	CHRM4
Scopolamine	CHRM5
Scopolamine	CHRNA4
Scopolamine	CHRNB2
Scopolamine	CYP3A4
Scopolamine	SI
Secobarbital	CHRNA4
Secobarbital	CHRNA7
Secobarbital	CYP1A2
Secobarbital	CYP2C19
Secobarbital	CYP2C8
Secobarbital	CYP2C9
Secobarbital	GABRA1
Secobarbital	GABRA2
Secobarbital	GABRA3
Secobarbital	GABRA4
Secobarbital	GABRA5
Secobarbital	GABRA6
Secobarbital	GRIA2
Secobarbital	GRIK2
Secobarbital	GRIN1
Secretin human	SCTR
Secukinumab	IL17A
Segesterone acetate	AR
Segesterone acetate	CYP3A4
Segesterone acetate	NR3C1
Segesterone acetate	PGR
Selegiline	ABCB1
Selegiline	CYP1A2
Selegiline	CYP2A6
Selegiline	CYP2B6
Selegiline	CYP2C19
Selegiline	CYP2C8
Selegiline	CYP2C9
Selegiline	CYP2D6
Selegiline	CYP3A4
Selegiline	MAOA
Selegiline	MAOB
Selenious acid	GPX1
Selenious acid	SEPP1
Selenious acid	TXNRD1
Selenium	GSR
Selenium	SCLY
Selenium	TXNRD1
Selexipag	ABCB1
Selexipag	CES1
Selexipag	CYP2C8
Selexipag	CYP3A4
Selexipag	PTGIR
Selexipag	SLCO1B1
Selexipag	SLCO1B3
Selinexor	CYP3A4
Selinexor	SLCO1B3
Selinexor	XPO1
Selpercatinib	ABCB1
Selpercatinib	ABCG2
Selpercatinib	CYP2C8
Selpercatinib	CYP3A4
Selpercatinib	FGFR1
Selpercatinib	FGFR2
Selpercatinib	FGFR3
Selpercatinib	FLT1
Selpercatinib	FLT4
Selpercatinib	RET
Selpercatinib	SLC47A1
Selumetinib	ABCB1
Selumetinib	ABCG2
Selumetinib	ALB
Selumetinib	CYP1A2
Selumetinib	CYP2C19
Selumetinib	CYP2C8
Selumetinib	CYP2C9
Selumetinib	CYP2E1
Selumetinib	CYP3A4
Selumetinib	CYP3A5
Selumetinib	MAP2K1
Selumetinib	MAP2K2
Selumetinib	ORM1
Selumetinib	UGT1A1
Selumetinib	UGT1A3
Semaglutide	ALB
Semaglutide	AMY1A
Semaglutide	DPP4
Semaglutide	GLP1R
Semaglutide	LPL
Semaglutide	MME
Seractide acetate	MC2R
Serdexmethylphenidate	CES1A1a
Serdexmethylphenidate	HTR1A
Serdexmethylphenidate	SLC6A2
Serdexmethylphenidate	SLC6A3
Sermorelin	GHRHR
Sertindole	ADRA1A
Sertindole	ADRA1B
Sertindole	ADRA1D
Sertindole	CYP2D6
Sertindole	CYP3A4
Sertindole	DRD2
Sertindole	HTR2A
Sertindole	HTR2C
Sertindole	HTR6
Sertindole	KCNH2
Sertraline	ABCB1
Sertraline	ALB
Sertraline	CYP2B
Sertraline	CYP2B6
Sertraline	CYP2C19
Sertraline	CYP2C9
Sertraline	CYP2D6
Sertraline	CYP2E1
Sertraline	CYP3A4
Sertraline	MAOA
Sertraline	MAOB
Sertraline	PGRMC1
Sertraline	SLC29A4
Sertraline	SLC6A2
Sertraline	SLC6A3
Sertraline	SLC6A4
Setmelanotide	MC4R
Sevoflurane	ALB
Sevoflurane	ATP2C1
Sevoflurane	CCDC51
Sevoflurane	CYP2A6
Sevoflurane	CYP2B6
Sevoflurane	CYP2E1
Sevoflurane	CYP3A4
Sevoflurane	GABRA1
Sevoflurane	GLRA1
Sevoflurane	GRIA1
Sevoflurane	MT-ND1
Sibutramine	CYP3A4
Sibutramine	SLC6A2
Sibutramine	SLC6A3
Sibutramine	SLC6A4
Sildenafil	ABCB1
Sildenafil	ABCC10
Sildenafil	ABCC4
Sildenafil	ABCC5
Sildenafil	CYP2C19
Sildenafil	CYP2C9
Sildenafil	CYP2D6
Sildenafil	CYP2E1
Sildenafil	CYP3A4
Sildenafil	CYP3A5
Sildenafil	CYP3A7
Sildenafil	PDE5A
Sildenafil	PDE6G
Sildenafil	PDE6H
Sildenafil	SLCO1B1
Silicon dioxide	MARCO
Silodosin	ABCB1
Silodosin	ABCB4
Silodosin	ADRA1A
Silodosin	ADRA1B
Silodosin	ADRA1D
Silodosin	AKR1A1
Silodosin	ALDH2
Silodosin	CYP3A4
Silodosin	KCNH2
Silodosin	UGT2B7
Siltuximab	CYP3A4
Siltuximab	IL6
Silver	A2M
Silver	ALB
Silver	CP
Silver	MTF1
Simeprevir	ABCB1
Simeprevir	ABCB11
Simeprevir	ABCC2
Simeprevir	ABCG2
Simeprevir	ALB
Simeprevir	CYP1A2
Simeprevir	CYP3A4
Simeprevir	SLC10A1
Simeprevir	SLCO1B1
Simeprevir	SLCO1B3
Simeprevir	SLCO2B1
Simoctocog alfa	VWF
Simvastatin	ABCB1
Simvastatin	ABCB11
Simvastatin	ABCC2
Simvastatin	CYP2B6
Simvastatin	CYP2C19
Simvastatin	CYP2C8
Simvastatin	CYP2C9
Simvastatin	CYP2D6
Simvastatin	CYP3A4
Simvastatin	CYP3A5
Simvastatin	HDAC2
Simvastatin	HMGCR
Simvastatin	ITGAL
Simvastatin	SLCO1A2
Simvastatin	SLCO1B1
Simvastatin	SLCO1B3
Simvastatin	SLCO2B1
Simvastatin	UGT1A1
Simvastatin	UGT1A3
Simvastatin	UGT2B7
Sincalide	SLCO1B3
Siponimod	CYP2C9
Siponimod	CYP3A4
Siponimod	S1PR1
Siponimod	S1PR5
Sipuleucel-T	ACPP
Sirolimus	ABCB1
Sirolimus	ALB
Sirolimus	APOA1
Sirolimus	CYP3A4
Sirolimus	CYP3A5
Sirolimus	CYP3A7
Sirolimus	MTOR
Sirolimus	ORM1
Sirolimus	SLC47A1
Sirolimus	SLCO1B1
Sitagliptin	ABCB1
Sitagliptin	CYP2C8
Sitagliptin	CYP3A4
Sitagliptin	DPP4
Sitagliptin	SLC22A8
Sitaxentan	CYP2C19
Sitaxentan	CYP2C9
Sitaxentan	CYP3A4
Sitaxentan	EDNRA
Sitaxentan	EDNRB
Sodium acetate	ACSS2
Sodium aurothiomalate	UGT1A1
Sodium bicarbonate	SLC4A10
Sodium bicarbonate	SLC4A4
Sodium bicarbonate	SLC4A5
Sodium bicarbonate	SLC4A7
Sodium bicarbonate	SLC4A8
Sodium carbonate	CA1
Sodium carbonate	CA2
Sodium carbonate	CA4
Sodium carbonate	CA9
Sodium citrate	SLC13A2
Sodium citrate	SLC13A5
Sodium citrate	SLC25A1
Sodium citrate	SLC25A21
Sodium ferric gluconate complex	FTL
Sodium ferric gluconate complex	HBA1
Sodium ferric gluconate complex	HBB
Sodium fluoride	ENOPH1
Sodium oxybate	ADHFE1
Sodium oxybate	ALDH5A1
Sodium phosphate, dibasic	SLC20A1
Sodium phosphate, dibasic	SLC20A2
Sodium phosphate, dibasic	SLC34A1
Sodium phosphate, dibasic	SLC34A2
Sodium phosphate, dibasic	SLC34A3
Sodium phosphate, monobasic	SLC20A1
Sodium phosphate, monobasic	SLC20A2
Sodium phosphate, monobasic	SLC34A1
Sodium phosphate, monobasic	SLC34A2
Sodium phosphate, monobasic	SLC34A3
Sodium phosphate, monobasic, unspecified form	SLC20A1
Sodium phosphate, monobasic, unspecified form	SLC20A2
Sodium phosphate, monobasic, unspecified form	SLC34A1
Sodium phosphate, monobasic, unspecified form	SLC34A2
Sodium phosphate, monobasic, unspecified form	SLC34A3
Sodium stibogluconate	TOP1
Sodium sulfate	CA1
Sodium sulfate	CA2
Sodium tetradecyl sulfate	PROC
Sodium tetradecyl sulfate	PROS1
Sofosbuvir	ABCB1
Sofosbuvir	ABCG2
Sofosbuvir	CES1A1a
Sofosbuvir	CMPK1
Sofosbuvir	CTSA
Sofosbuvir	HINT1
Sofosbuvir	NME1
Solifenacin	CHRM1
Solifenacin	CHRM2
Solifenacin	CHRM3
Solifenacin	CHRM4
Solifenacin	CHRM5
Solifenacin	CYP1A1
Solifenacin	CYP2D6
Solifenacin	CYP3A4
Solifenacin	ORM1
Solriamfetol	SLC22A2
Solriamfetol	SLC22A4
Solriamfetol	SLC22A5
Solriamfetol	SLC6A2
Solriamfetol	SLC6A3
Somapacitan	ALB
Somapacitan	CYP1A2
Somapacitan	CYP2C19
Somapacitan	GHR
Somapacitan	HSD11B1
Somatostatin	ABCB1
Somatostatin	CYP3A4
Somatostatin	SSTR1
Somatostatin	SSTR2
Somatostatin	SSTR3
Somatostatin	SSTR4
Somatostatin	SSTR5
Somatotropin	ABCB1
Somatotropin	CYP1A2
Somatotropin	CYP2C19
Somatotropin	GHR
Somatotropin	PRLR
Somatrem	GHR
Somatrem	IGF1R
Sonidegib	CYP3A4
Sonidegib	SMO
Sorafenib	ABCB1
Sorafenib	ABCC2
Sorafenib	ABCC4
Sorafenib	ABCG2
Sorafenib	BRAF
Sorafenib	CYP1A2
Sorafenib	CYP2B6
Sorafenib	CYP2C19
Sorafenib	CYP2C8
Sorafenib	CYP2C9
Sorafenib	CYP2D6
Sorafenib	CYP3A4
Sorafenib	CYP3A5
Sorafenib	CYP3A7
Sorafenib	FGFR1
Sorafenib	FLT1
Sorafenib	FLT3
Sorafenib	FLT4
Sorafenib	KDR
Sorafenib	KIT
Sorafenib	PDGFRB
Sorafenib	RAF1
Sorafenib	RALBP1
Sorafenib	RET
Sorafenib	SLCO1B1
Sorafenib	UGT1A1
Sorafenib	UGT1A9
Sotalol	ADRB1
Sotalol	ADRB2
Sotalol	CYP2D6
Sotalol	KCNH2
Sotorasib	ABCB1
Sotorasib	ABCG2
Sotorasib	CYP2B6
Sotorasib	CYP2C8
Sotorasib	CYP2C9
Sotorasib	CYP3A4
Sotorasib	KRAS
Soybean oil	PPARA
Sparfloxacin	ABCB1
Sparfloxacin	ABCC2
Sparfloxacin	CYP1A2
Sparfloxacin	SLC22A5
Sparfloxacin	TOP2A
Spirapril	ACE
Spirapril	SLC15A1
Spirapril	SLC15A2
Spironolactone	ABCB1
Spironolactone	ABCB11
Spironolactone	ABCC2
Spironolactone	ALB
Spironolactone	AR
Spironolactone	CACNG1
Spironolactone	CYP11B1
Spironolactone	CYP11B2
Spironolactone	CYP17A1
Spironolactone	CYP2C8
Spironolactone	NR1I2
Spironolactone	NR3C1
Spironolactone	NR3C2
Spironolactone	ORM1
Spironolactone	PGR
Spironolactone	SHBG
Spironolactone	SLCO1A2
Spironolactone	SRD5A1
Stanozolol	AR
Stavudine	ALB
Stavudine	SLC22A6
Stavudine	SLC28A1
Stearic acid	ALB
Stearic acid	FABP3
Stearic acid	PLA2G2D
Stearic acid	PPARA
Stiripentol	CYP1A2
Stiripentol	CYP2C19
Stiripentol	CYP2C9
Stiripentol	CYP2D6
Stiripentol	CYP3A4
Stiripentol	GABRA1
Stiripentol	LDHA
Stiripentol	LDHB
St. John's Wort	ABCB1
St. John's Wort	CYP2C19
St. John's Wort	CYP2D6
St. John's Wort	CYP3A4
Streptokinase	F2R
Streptokinase	PLA2G4A
Streptokinase	PLG
Streptomycin	PADI4
Streptozocin	ABCB1
Streptozocin	CYP1A1
Streptozocin	CYP1A2
Streptozocin	CYP2E1
Streptozocin	MGEA5
Streptozocin	SLC2A2
Strontium chloride Sr-89	ALPL
Strontium chloride Sr-89	ALPPL2
Strontium chloride Sr-89	CACNA1I
Strontium chloride Sr-89	SLC8A1
Succinic acid	ALDH5A1
Succinic acid	ASPH
Succinic acid	OXCT1
Succinic acid	P3H1
Succinic acid	P3H2
Succinic acid	P3H3
Succinic acid	P4HA1
Succinic acid	PLOD3
Succinic acid	SDHA
Succinic acid	SDHC
Succinic acid	SLC13A1
Succinic acid	SLC13A2
Succinic acid	SLC13A3
Succinic acid	SLC22A8
Succinic acid	SLC25A10
Succinic acid	SUCLG2
Succinic acid	SUCNR1
Succinylcholine	BCHE
Succinylcholine	CHRM2
Succinylcholine	CHRM3
Succinylcholine	CHRNA10
Sucralfate	EGF
Sucralfate	FGA
Sucralfate	FGF2
Sucralfate	PGA5
Sucrose	ACTA1
Sucrose	ATOX1
Sucrose	LYZ
Sucrose	RTCB
Sucrose	TAS1R2
Sufentanil	CYP3A4
Sufentanil	OPRD1
Sufentanil	OPRK1
Sufentanil	OPRM1
Sulconazole	CYP1A2
Sulconazole	CYP2C9
Sulconazole	CYP2D6
Sulfadiazine	CYP2C8
Sulfadiazine	CYP2C9
Sulfadiazine	CYP3A4
Sulfadimethoxine	CYP2C9
Sulfamerazine	ALB
Sulfamethazine	ALB
Sulfamethizole	ALB
Sulfamethizole	CYP2C9
Sulfamethoxazole	ABCB11
Sulfamethoxazole	ALB
Sulfamethoxazole	CYP2C9
Sulfamethoxazole	CYP3A4
Sulfamethoxazole	NAT1
Sulfamethoxazole	NAT2
Sulfaphenazole	CYP2B6
Sulfaphenazole	CYP2C8
Sulfaphenazole	CYP2C9
Sulfaphenazole	CYP2D6
Sulfapyridine	CYP2C9
